"","sale.date","sales.rep","rep.sex","rep.region","rep.feedback","wine","type","cost","unit.price","units.sold","recipt","expenses","year"
"9281",2012-02-06,"Vicki Kilkenny",0,"West",7,"Merlot","red",2.229,7.43,9,66.87,3.8352,2012
"3799",2012-02-06,"Vicki Kilkenny",0,"West",4,"Riesling","white",2.097,6.99,10,69.9,3.9168,2012
"4751",2012-02-07,"Yolando Galicia",0,"North",7,"Chardonnay","white",3.15,11.45,29,332.05,7.27,2012
"933",2012-02-07,"Vicki Kilkenny",0,"West",4,"Chardonnay","white",3.15,10.5,19,199.5,5.5794,2012
"1263",2012-02-07,"Vicki Kilkenny",0,"West",6,"Chardonnay","white",3.15,10.5,17,178.5,6.222,2012
"4471",2012-02-08,"Dannette Saltsman",0,"Central",6,"Cabernet Sauvignon","red",3.624,11.65,10,116.5,6.86,2012
"5866",2012-02-08,"Lolita Wass",0,"Central",5,"Cabernet Sauvignon","red",3.624,11.65,8,93.2,5.63,2012
"8627",2012-02-08,"Aiko Hamsher",0,"East",7,"Chardonnay","white",3.15,10.5,18,189,7.035,2012
"2162",2012-02-08,"Aiko Hamsher",0,"East",6,"Riesling","white",2.097,6.99,21,146.79,4.3995,2012
"1370",2012-02-09,"Nilda Hypolite",0,"Central",6,"Merlot","red",2.229,7,9,63,3.98,2012
"719",2012-02-09,"Lavera Mccallie",0,"South",7,"Sauvignon Blanc","white",2.697,8.87,19,168.53,5.2345,2012
"2438",2012-02-09,"Vicki Kilkenny",0,"West",5,"Cabernet Sauvignon","red",3.624,12.08,27,326.16,6.834,2012
"1486",2012-02-10,"Dannette Saltsman",0,"Central",5,"Cabernet Sauvignon","red",3.624,11.65,5,58.25,5.77,2012
"1767",2012-02-10,"Dannette Saltsman",0,"Central",7,"Merlot","red",2.229,7,15,105,4.16,2012
"5712",2012-02-10,"Lolita Wass",0,"Central",6,"Merlot","red",2.229,7,27,189,5.3,2012
"1084",2012-02-10,"Nilda Hypolite",0,"Central",5,"Cabernet Sauvignon","red",3.624,11.65,16,186.4,6.5,2012
"4489",2012-02-10,"Virgilio Mcelligott",1,"Central",7,"Merlot","red",2.229,7,17,119,4.59,2012
"559",2012-02-10,"Kym Velarde",0,"East",6,"Pinot Gris","white",3.741,12.47,16,199.52,7.119,2012
"3877",2012-02-10,"Clement Arias",1,"North",6,"Cabernet Sauvignon","red",3.624,13.03,10,130.3,5.91,2012
"8263",2012-02-10,"Shameka Mertes",0,"North",5,"Merlot","red",2.229,8.38,22,184.36,5.05,2012
"9803",2012-02-10,"Jewel Copas",1,"South",6,"Cabernet Sauvignon","red",3.624,11.96,16,191.36,6.2225,2012
"7395",2012-02-10,"Lavera Mccallie",0,"South",6,"Merlot","red",2.229,7.31,29,211.99,4.294,2012
"9016",2012-02-10,"Tori Hastie",0,"South",6,"Cabernet Sauvignon","red",3.624,11.96,22,263.12,6.6215,2012
"5851",2012-02-10,"Bianca Suchan",0,"West",7,"Chardonnay","white",3.15,10.5,23,241.5,6.4974,2012
"8490",2012-02-11,"Dannette Saltsman",0,"Central",6,"Merlot","red",2.229,7,19,133,4.92,2012
"1524",2012-02-11,"Karry Noell",0,"East",7,"Merlot","red",2.229,7.43,16,118.88,5.292,2012
"7851",2012-02-11,"Lavera Mccallie",0,"South",5,"Shiraz","red",6.051,20.05,6,120.3,9.823,2012
"849",2012-02-11,"Tori Hastie",0,"South",7,"Merlot","red",2.229,7.31,10,73.1,4.37,2012
"6163",2012-02-12,"Virgilio Mcelligott",1,"Central",6,"Pinot Gris","white",3.741,12.04,18,216.72,7.33,2012
"4046",2012-02-12,"Aiko Hamsher",0,"East",7,"Pinot Gris","white",3.741,12.47,19,236.93,8.148,2012
"632",2012-02-12,"Eura Begay",0,"North",6,"Merlot","red",2.229,8.38,17,142.46,4.94,2012
"8789",2012-02-12,"Lavera Mccallie",0,"South",7,"Merlot","red",2.229,7.31,14,102.34,4.408,2012
"6789",2012-02-12,"Mamie Fullington",0,"South",6,"Cabernet Sauvignon","red",3.624,11.96,12,143.52,5.8615,2012
"9147",2012-02-13,"Dannette Saltsman",0,"Central",7,"Cabernet Sauvignon","red",3.624,11.65,5,58.25,6.04,2012
"1421",2012-02-13,"Aiko Hamsher",0,"East",5,"Chardonnay","white",3.15,10.5,23,241.5,6.951,2012
"6049",2012-02-13,"Karry Noell",0,"East",6,"Merlot","red",2.229,7.43,7,52.01,4.4205,2012
"2124",2012-02-13,"Lavera Mccallie",0,"South",4,"Cabernet Sauvignon","red",3.624,11.96,21,251.16,6.061,2012
"828",2012-02-13,"Mamie Fullington",0,"South",5,"Riesling","white",2.097,6.87,7,48.09,3.648,2012
"9369",2012-02-14,"Aiko Hamsher",0,"East",9,"Merlot","red",2.229,7.43,17,126.31,4.7775,2012
"284",2012-02-15,"Karry Noell",0,"East",6,"Pinot Gris","white",3.741,12.47,17,211.99,7.9275,2012
"8188",2012-02-15,"Kym Velarde",0,"East",5,"Merlot","red",2.229,7.43,34,252.62,7.3605,2012
"6820",2012-02-15,"Eura Begay",0,"North",5,"Chardonnay","white",3.15,11.45,12,137.4,6.06,2012
"2552",2012-02-15,"Bianca Suchan",0,"West",6,"Chardonnay","white",3.15,10.5,12,126,5.661,2012
"3893",2012-02-15,"Deloras Mcfetridge",0,"West",7,"Pinot Gris","white",3.741,12.47,7,87.29,6.1812,2012
"3377",2012-02-15,"Vicki Kilkenny",0,"West",8,"Merlot","red",2.229,7.43,6,44.58,4.2228,2012
"7600",2012-02-16,"Dannette Saltsman",0,"Central",7,"Merlot","red",2.229,7,23,161,5.26,2012
"3434",2012-02-16,"Lolita Wass",0,"Central",7,"Merlot","red",2.229,7,5,35,3.94,2012
"6599",2012-02-16,"Clement Arias",1,"North",6,"Cabernet Sauvignon","red",3.624,13.03,18,234.54,7.6,2012
"2453",2012-02-16,"Clement Arias",1,"North",5,"Sauvignon Blanc","white",2.697,9.94,14,139.16,5.15,2012
"8625",2012-02-16,"Eura Begay",0,"North",6,"Chardonnay","white",3.15,11.45,19,217.55,6.64,2012
"7386",2012-02-16,"Mamie Fullington",0,"South",6,"Merlot","red",2.229,7.31,33,241.23,5.586,2012
"6615",2012-02-16,"Deloras Mcfetridge",0,"West",6,"Chardonnay","white",3.15,10.5,23,241.5,6.1506,2012
"1729",2012-02-16,"Lesia Belt",0,"West",6,"Merlot","red",2.229,7.43,16,118.88,4.4064,2012
"9652",2012-02-17,"Nilda Hypolite",0,"Central",5,"Chardonnay","white",3.15,10.07,23,231.61,6.57,2012
"8665",2012-02-17,"Lavera Mccallie",0,"South",4,"Cabernet Sauvignon","red",3.624,11.96,10,119.6,6.2415,2012
"768",2012-02-17,"Mamie Fullington",0,"South",8,"Chardonnay","white",3.15,10.38,7,72.66,5.206,2012
"2194",2012-02-17,"Bianca Suchan",0,"West",6,"Pinot Gris","white",3.741,12.47,13,162.11,6.4566,2012
"150",2012-02-18,"Lolita Wass",0,"Central",6,"Chardonnay","white",3.15,10.07,14,140.98,6.34,2012
"2014",2012-02-18,"Aiko Hamsher",0,"East",5,"Chardonnay","white",3.15,10.5,9,94.5,5.985,2012
"1345",2012-02-18,"Lavera Mccallie",0,"South",6,"Merlot","red",2.229,7.31,39,285.09,5.6715,2012
"5192",2012-02-18,"Tori Hastie",0,"South",5,"Merlot","red",2.229,7.31,23,168.13,5.282,2012
"971",2012-02-18,"Vicki Kilkenny",0,"West",5,"Chardonnay","white",3.15,10.5,20,210,6.936,2012
"7873",2012-02-19,"Eura Begay",0,"North",6,"Merlot","red",2.229,8.38,20,167.6,4.8,2012
"3005",2012-02-19,"Shameka Mertes",0,"North",6,"Merlot","red",2.229,8.38,10,83.8,4.32,2012
"5759",2012-02-20,"Virgilio Mcelligott",1,"Central",6,"Merlot","red",2.229,7,20,140,4.32,2012
"2349",2012-02-20,"Ben Gerry",1,"East",5,"Merlot","red",2.229,7.43,21,156.03,5.355,2012
"4321",2012-02-20,"Shameka Mertes",0,"North",6,"Riesling","white",2.097,7.94,21,166.74,4.29,2012
"624",2012-02-20,"Deloras Mcfetridge",0,"West",5,"Sauvignon Blanc","white",2.697,8.99,7,62.93,4.9266,2012
"2809",2012-02-21,"Karry Noell",0,"East",6,"Merlot","red",2.229,7.43,20,148.6,5.1765,2012
"4139",2012-02-21,"Eura Begay",0,"North",6,"Sauvignon Blanc","white",2.697,9.94,14,139.16,5.66,2012
"9569",2012-02-21,"Yolando Galicia",0,"North",6,"Merlot","red",2.229,8.38,14,117.32,4.64,2012
"218",2012-02-22,"Karry Noell",0,"East",5,"Riesling","white",2.097,6.99,17,118.83,4.578,2012
"2754",2012-02-22,"Clement Arias",1,"North",4,"Chardonnay","white",3.15,11.45,19,217.55,6.07,2012
"2430",2012-02-22,"Eura Begay",0,"North",4,"Pinot Gris","white",3.741,13.42,9,120.78,5.87,2012
"8718",2012-02-22,"Shameka Mertes",0,"North",3,"Merlot","red",2.229,8.38,19,159.22,4.55,2012
"5153",2012-02-22,"Jewel Copas",1,"South",5,"Shiraz","red",6.051,20.05,12,240.6,10.222,2012
"3630",2012-02-22,"Mamie Fullington",0,"South",7,"Merlot","red",2.229,7.31,13,95.03,3.5625,2012
"808",2012-02-22,"Bianca Suchan",0,"West",4,"Cabernet Sauvignon","red",3.624,12.08,14,169.12,5.7528,2012
"3195",2012-02-22,"Deloras Mcfetridge",0,"West",4,"Pinot Gris","white",3.741,12.47,16,199.52,7.0482,2012
"2106",2012-02-22,"Lesia Belt",0,"West",5,"Cabernet Sauvignon","red",3.624,12.08,10,120.8,7.1706,2012
"6367",2012-02-22,"Vicki Kilkenny",0,"West",7,"Pinot Gris","white",3.741,12.47,12,149.64,6.885,2012
"2497",2012-02-23,"Virgilio Mcelligott",1,"Central",5,"Merlot","red",2.229,7,8,56,3.41,2012
"2713",2012-02-23,"Aiko Hamsher",0,"East",5,"Pinot Gris","white",3.741,12.47,14,174.58,5.649,2012
"4663",2012-02-23,"Clement Arias",1,"North",8,"Cabernet Sauvignon","red",3.624,13.03,13,169.39,6.58,2012
"3842",2012-02-23,"Clement Arias",1,"North",6,"Chardonnay","white",3.15,11.45,16,183.2,6.24,2012
"8892",2012-02-23,"Eura Begay",0,"North",4,"Pinot Gris","white",3.741,13.42,9,120.78,6.36,2012
"4541",2012-02-23,"Lavera Mccallie",0,"South",6,"Chardonnay","white",3.15,10.38,23,238.74,5.681,2012
"1380",2012-02-23,"Deloras Mcfetridge",0,"West",7,"Cabernet Sauvignon","red",3.624,12.08,11,132.88,6.1506,2012
"8130",2012-02-23,"Deloras Mcfetridge",0,"West",6,"Merlot","red",2.229,7.43,27,200.61,5.5386,2012
"4803",2012-02-24,"Dannette Saltsman",0,"Central",6,"Shiraz","red",6.051,19.74,13,256.62,9.51,2012
"1927",2012-02-24,"Lolita Wass",0,"Central",6,"Chardonnay","white",3.15,10.07,11,110.77,5.78,2012
"6146",2012-02-24,"Aiko Hamsher",0,"East",6,"Cabernet Sauvignon","red",3.624,12.08,21,253.68,8.0115,2012
"4814",2012-02-24,"Eura Begay",0,"North",6,"Shiraz","red",6.051,21.12,14,295.68,10.53,2012
"7049",2012-02-24,"Shameka Mertes",0,"North",6,"Chardonnay","white",3.15,11.45,15,171.75,6.35,2012
"857",2012-02-24,"Shameka Mertes",0,"North",5,"Pinot Gris","white",3.741,13.42,20,268.4,6.9,2012
"8043",2012-02-24,"Yolando Galicia",0,"North",7,"Riesling","white",2.097,7.94,18,142.92,4.57,2012
"6607",2012-02-24,"Lesia Belt",0,"West",5,"Pinot Gris","white",3.741,12.47,23,286.81,8.823,2012
"8591",2012-02-25,"Nilda Hypolite",0,"Central",5,"Cabernet Sauvignon","red",3.624,11.65,9,104.85,5.74,2012
"5382",2012-02-25,"Shameka Mertes",0,"North",6,"Riesling","white",2.097,7.94,12,95.28,4.62,2012
"6724",2012-02-25,"Shameka Mertes",0,"North",7,"Sauvignon Blanc","white",2.697,9.94,10,99.4,4.88,2012
"8189",2012-02-25,"Yolando Galicia",0,"North",7,"Chardonnay","white",3.15,11.45,18,206.1,6.94,2012
"3296",2012-02-25,"Lavera Mccallie",0,"South",6,"Pinot Gris","white",3.741,12.35,18,222.3,5.643,2012
"2504",2012-02-25,"Lesia Belt",0,"West",5,"Sauvignon Blanc","white",2.697,8.99,8,71.92,4.641,2012
"1787",2012-02-25,"Vicki Kilkenny",0,"West",5,"Sauvignon Blanc","white",2.697,8.99,34,305.66,7.4358,2012
"7824",2012-02-26,"Karry Noell",0,"East",5,"Chardonnay","white",3.15,10.5,11,115.5,5.8275,2012
"3396",2012-02-26,"Jewel Copas",1,"South",6,"Riesling","white",2.097,6.87,17,116.79,4.4555,2012
"4688",2012-02-27,"Virgilio Mcelligott",1,"Central",5,"Riesling","white",2.097,6.56,23,150.88,5.6,2012
"4088",2012-02-27,"Kym Velarde",0,"East",5,"Pinot Gris","white",3.741,12.47,17,211.99,7.602,2012
"6499",2012-02-27,"Deloras Mcfetridge",0,"West",7,"Pinot Gris","white",3.741,12.47,22,274.34,8.1702,2012
"6122",2012-02-27,"Lesia Belt",0,"West",6,"Sauvignon Blanc","white",2.697,8.99,14,125.86,4.743,2012
"9361",2012-02-27,"Vicki Kilkenny",0,"West",7,"Chardonnay","white",3.15,10.5,12,126,5.1306,2012
"5417",2012-02-28,"Dannette Saltsman",0,"Central",6,"Riesling","white",2.097,6.56,5,32.8,3.62,2012
"2463",2012-02-28,"Nilda Hypolite",0,"Central",8,"Riesling","white",2.097,6.56,6,39.36,3.3,2012
"2732",2012-02-28,"Virgilio Mcelligott",1,"Central",7,"Shiraz","red",6.051,19.74,21,414.54,10.96,2012
"9654",2012-02-28,"Aiko Hamsher",0,"East",6,"Merlot","red",2.229,7.43,24,178.32,5.5125,2012
"483",2012-02-28,"Yolando Galicia",0,"North",7,"Chardonnay","white",3.15,11.45,15,171.75,6.08,2012
"1472",2012-02-28,"Jewel Copas",1,"South",7,"Chardonnay","white",3.15,10.38,8,83.04,5.586,2012
"622",2012-02-28,"Deloras Mcfetridge",0,"West",5,"Merlot","red",2.229,7.43,14,104.02,4.7124,2012
"715",2012-02-29,"Lolita Wass",0,"Central",6,"Merlot","red",2.229,7,10,70,3.95,2012
"7909",2012-02-29,"Clement Arias",1,"North",7,"Merlot","red",2.229,8.38,8,67.04,4.69,2012
"9198",2012-02-29,"Shameka Mertes",0,"North",5,"Shiraz","red",6.051,21.12,11,232.32,8.6,2012
"5015",2012-02-29,"Yolando Galicia",0,"North",4,"Merlot","red",2.229,8.38,20,167.6,5.52,2012
"8077",2012-03-01,"Virgilio Mcelligott",1,"Central",5,"Pinot Gris","white",3.741,12.04,12,144.48,7.4,2012
"631",2012-03-01,"Ben Gerry",1,"East",6,"Riesling","white",2.097,6.99,14,97.86,4.4205,2012
"6460",2012-03-01,"Yolando Galicia",0,"North",6,"Pinot Gris","white",3.741,13.42,12,161.04,7.11,2012
"2288",2012-03-01,"Jewel Copas",1,"South",4,"Merlot","red",2.229,7.31,19,138.89,4.75,2012
"1737",2012-03-01,"Vicki Kilkenny",0,"West",6,"Merlot","red",2.229,7.43,16,118.88,4.6716,2012
"3299",2012-03-02,"Virgilio Mcelligott",1,"Central",7,"Merlot","red",2.229,7,15,105,4.55,2012
"3399",2012-03-02,"Aiko Hamsher",0,"East",6,"Chardonnay","white",3.15,10.5,13,136.5,6.153,2012
"1141",2012-03-02,"Aiko Hamsher",0,"East",7,"Merlot","red",2.229,7.43,22,163.46,5.3235,2012
"8029",2012-03-02,"Clement Arias",1,"North",8,"Chardonnay","white",3.15,11.45,34,389.3,8.04,2012
"8949",2012-03-02,"Eura Begay",0,"North",6,"Merlot","red",2.229,8.38,8,67.04,4.51,2012
"3039",2012-03-02,"Shameka Mertes",0,"North",5,"Sauvignon Blanc","white",2.697,9.94,14,139.16,5.92,2012
"1998",2012-03-03,"Virgilio Mcelligott",1,"Central",6,"Merlot","red",2.229,7,42,294,6.17,2012
"9786",2012-03-03,"Virgilio Mcelligott",1,"Central",6,"Sauvignon Blanc","white",2.697,8.56,11,94.16,5.04,2012
"9089",2012-03-03,"Aiko Hamsher",0,"East",6,"Chardonnay","white",3.15,10.5,28,294,8.2635,2012
"9302",2012-03-03,"Kym Velarde",0,"East",6,"Pinot Gris","white",3.741,12.47,14,174.58,7.5075,2012
"4534",2012-03-03,"Eura Begay",0,"North",7,"Pinot Gris","white",3.741,13.42,17,228.14,6.28,2012
"9593",2012-03-04,"Yolando Galicia",0,"North",7,"Shiraz","red",6.051,21.12,10,211.2,9.32,2012
"5677",2012-03-04,"Deloras Mcfetridge",0,"West",6,"Cabernet Sauvignon","red",3.624,12.08,18,217.44,7.089,2012
"9133",2012-03-05,"Dannette Saltsman",0,"Central",5,"Chardonnay","white",3.15,10.07,12,120.84,4.75,2012
"5039",2012-03-05,"Virgilio Mcelligott",1,"Central",6,"Pinot Gris","white",3.741,12.04,8,96.32,6.64,2012
"5282",2012-03-05,"Aiko Hamsher",0,"East",6,"Merlot","red",2.229,7.43,27,200.61,6.1425,2012
"4350",2012-03-05,"Aiko Hamsher",0,"East",6,"Sauvignon Blanc","white",2.697,8.99,20,179.8,5.502,2012
"9278",2012-03-05,"Aiko Hamsher",0,"East",6,"Sauvignon Blanc","white",2.697,8.99,17,152.83,5.5335,2012
"5943",2012-03-05,"Ben Gerry",1,"East",6,"Merlot","red",2.229,7.43,18,133.74,3.906,2012
"399",2012-03-05,"Yolando Galicia",0,"North",8,"Pinot Gris","white",3.741,13.42,7,93.94,6.56,2012
"821",2012-03-05,"Yolando Galicia",0,"North",5,"Shiraz","red",6.051,21.12,22,464.64,10.52,2012
"5033",2012-03-05,"Jewel Copas",1,"South",6,"Chardonnay","white",3.15,10.38,17,176.46,5.8805,2012
"7306",2012-03-05,"Lavera Mccallie",0,"South",5,"Merlot","red",2.229,7.31,14,102.34,4.2275,2012
"5247",2012-03-05,"Tori Hastie",0,"South",7,"Cabernet Sauvignon","red",3.624,11.96,7,83.72,6.536,2012
"8397",2012-03-06,"Nilda Hypolite",0,"Central",5,"Merlot","red",2.229,7,18,126,4.78,2012
"811",2012-03-06,"Virgilio Mcelligott",1,"Central",7,"Sauvignon Blanc","white",2.697,8.56,15,128.4,4.96,2012
"4970",2012-03-06,"Aiko Hamsher",0,"East",6,"Merlot","red",2.229,7.43,15,111.45,4.956,2012
"4424",2012-03-06,"Ben Gerry",1,"East",5,"Merlot","red",2.229,7.43,13,96.59,4.6725,2012
"5510",2012-03-06,"Jewel Copas",1,"South",6,"Pinot Gris","white",3.741,12.35,26,321.1,7.087,2012
"1034",2012-03-07,"Nilda Hypolite",0,"Central",7,"Pinot Gris","white",3.741,12.04,13,156.52,6.17,2012
"4375",2012-03-07,"Tori Hastie",0,"South",5,"Merlot","red",2.229,7.31,19,138.89,4.8545,2012
"3208",2012-03-07,"Vicki Kilkenny",0,"West",6,"Chardonnay","white",3.15,10.5,20,210,6.2118,2012
"7051",2012-03-08,"Kym Velarde",0,"East",7,"Merlot","red",2.229,7.43,19,141.17,5.3655,2012
"7048",2012-03-08,"Kym Velarde",0,"East",6,"Pinot Gris","white",3.741,12.47,16,199.52,6.7725,2012
"7977",2012-03-08,"Shameka Mertes",0,"North",6,"Chardonnay","white",3.15,11.45,15,171.75,6.26,2012
"1384",2012-03-08,"Jewel Copas",1,"South",6,"Shiraz","red",6.051,20.05,21,421.05,10.2695,2012
"2340",2012-03-08,"Mamie Fullington",0,"South",5,"Shiraz","red",6.051,20.05,6,120.3,9.0345,2012
"5271",2012-03-08,"Deloras Mcfetridge",0,"West",6,"Pinot Gris","white",3.741,12.47,12,149.64,6.5994,2012
"1305",2012-03-09,"Virgilio Mcelligott",1,"Central",6,"Merlot","red",2.229,7,16,112,5.05,2012
"6397",2012-03-09,"Ben Gerry",1,"East",6,"Cabernet Sauvignon","red",3.624,12.08,12,144.96,7.5075,2012
"1018",2012-03-09,"Karry Noell",0,"East",6,"Chardonnay","white",3.15,10.5,15,157.5,6.6465,2012
"2248",2012-03-09,"Yolando Galicia",0,"North",5,"Merlot","red",2.229,8.38,15,125.7,4.04,2012
"8856",2012-03-09,"Bianca Suchan",0,"West",6,"Merlot","red",2.229,7.43,16,118.88,4.539,2012
"4369",2012-03-09,"Vicki Kilkenny",0,"West",5,"Merlot","red",2.229,7.43,23,170.89,5.2938,2012
"3683",2012-03-10,"Dannette Saltsman",0,"Central",5,"Merlot","red",2.229,7,23,161,5.33,2012
"1522",2012-03-10,"Karry Noell",0,"East",6,"Chardonnay","white",3.15,10.5,10,105,6.111,2012
"2926",2012-03-10,"Lavera Mccallie",0,"South",5,"Merlot","red",2.229,7.31,28,204.68,5.13,2012
"2653",2012-03-10,"Mamie Fullington",0,"South",5,"Cabernet Sauvignon","red",3.624,11.96,10,119.6,6.061,2012
"282",2012-03-10,"Tori Hastie",0,"South",7,"Merlot","red",2.229,7.31,17,124.27,4.769,2012
"9768",2012-03-10,"Deloras Mcfetridge",0,"West",6,"Cabernet Sauvignon","red",3.624,12.08,17,205.36,6.783,2012
"2600",2012-03-11,"Aiko Hamsher",0,"East",5,"Pinot Gris","white",3.741,12.47,10,124.7,6.657,2012
"1663",2012-03-11,"Kym Velarde",0,"East",4,"Chardonnay","white",3.15,10.5,15,157.5,6.2475,2012
"5498",2012-03-12,"Aiko Hamsher",0,"East",6,"Chardonnay","white",3.15,10.5,19,199.5,6.3735,2012
"6153",2012-03-12,"Aiko Hamsher",0,"East",8,"Pinot Gris","white",3.741,12.47,23,286.81,6.972,2012
"7926",2012-03-12,"Lavera Mccallie",0,"South",5,"Cabernet Sauvignon","red",3.624,11.96,8,95.68,6.6215,2012
"5257",2012-03-12,"Tori Hastie",0,"South",6,"Merlot","red",2.229,7.31,13,95.03,3.914,2012
"6540",2012-03-12,"Deloras Mcfetridge",0,"West",8,"Chardonnay","white",3.15,10.5,19,199.5,6.7422,2012
"4312",2012-03-13,"Eura Begay",0,"North",7,"Chardonnay","white",3.15,11.45,18,206.1,6.64,2012
"7485",2012-03-13,"Eura Begay",0,"North",6,"Chardonnay","white",3.15,11.45,4,45.8,4.51,2012
"979",2012-03-14,"Dannette Saltsman",0,"Central",6,"Cabernet Sauvignon","red",3.624,11.65,24,279.6,7.64,2012
"9067",2012-03-14,"Kym Velarde",0,"East",4,"Merlot","red",2.229,7.43,11,81.73,4.6725,2012
"9100",2012-03-14,"Jewel Copas",1,"South",4,"Shiraz","red",6.051,20.05,14,280.7,9.3575,2012
"5899",2012-03-14,"Deloras Mcfetridge",0,"West",6,"Chardonnay","white",3.15,10.5,11,115.5,6.0078,2012
"7197",2012-03-14,"Deloras Mcfetridge",0,"West",4,"Sauvignon Blanc","white",2.697,8.99,9,80.91,4.9776,2012
"1948",2012-03-15,"Nilda Hypolite",0,"Central",5,"Cabernet Sauvignon","red",3.624,11.65,15,174.75,5.72,2012
"1887",2012-03-15,"Tori Hastie",0,"South",6,"Sauvignon Blanc","white",2.697,8.87,20,177.4,5.491,2012
"8606",2012-03-15,"Deloras Mcfetridge",0,"West",7,"Sauvignon Blanc","white",2.697,8.99,7,62.93,4.437,2012
"6729",2012-03-16,"Dannette Saltsman",0,"Central",6,"Merlot","red",2.229,7,14,98,4.59,2012
"6752",2012-03-16,"Aiko Hamsher",0,"East",6,"Cabernet Sauvignon","red",3.624,12.08,29,350.32,6.531,2012
"7027",2012-03-16,"Aiko Hamsher",0,"East",6,"Merlot","red",2.229,7.43,14,104.02,5.0505,2012
"4602",2012-03-16,"Kym Velarde",0,"East",8,"Pinot Gris","white",3.741,12.47,8,99.76,7.371,2012
"2476",2012-03-16,"Yolando Galicia",0,"North",5,"Merlot","red",2.229,8.38,18,150.84,5,2012
"1656",2012-03-16,"Mamie Fullington",0,"South",4,"Pinot Gris","white",3.741,12.35,4,49.4,5.5385,2012
"5301",2012-03-16,"Bianca Suchan",0,"West",7,"Sauvignon Blanc","white",2.697,8.99,19,170.81,6.1098,2012
"85",2012-03-17,"Aiko Hamsher",0,"East",4,"Sauvignon Blanc","white",2.697,8.99,22,197.78,6.174,2012
"231",2012-03-17,"Karry Noell",0,"East",6,"Cabernet Sauvignon","red",3.624,12.08,21,253.68,7.4445,2012
"8416",2012-03-17,"Eura Begay",0,"North",5,"Merlot","red",2.229,8.38,14,117.32,4.63,2012
"3285",2012-03-17,"Shameka Mertes",0,"North",5,"Chardonnay","white",3.15,11.45,13,148.85,5.52,2012
"1619",2012-03-17,"Mamie Fullington",0,"South",5,"Chardonnay","white",3.15,10.38,14,145.32,5.814,2012
"10",2012-03-17,"Deloras Mcfetridge",0,"West",4,"Merlot","red",2.229,7.43,7,52.01,4.08,2012
"1803",2012-03-17,"Deloras Mcfetridge",0,"West",5,"Pinot Gris","white",3.741,12.47,20,249.4,7.7418,2012
"7377",2012-03-17,"Deloras Mcfetridge",0,"West",5,"Pinot Gris","white",3.741,12.47,8,99.76,6.3444,2012
"1884",2012-03-17,"Deloras Mcfetridge",0,"West",5,"Riesling","white",2.097,6.99,23,160.77,4.8246,2012
"687",2012-03-17,"Vicki Kilkenny",0,"West",5,"Sauvignon Blanc","white",2.697,8.99,7,62.93,5.5896,2012
"2740",2012-03-19,"Dannette Saltsman",0,"Central",6,"Chardonnay","white",3.15,10.07,19,191.33,6.29,2012
"5044",2012-03-19,"Aiko Hamsher",0,"East",6,"Pinot Gris","white",3.741,12.47,26,324.22,8.0955,2012
"2331",2012-03-19,"Yolando Galicia",0,"North",6,"Chardonnay","white",3.15,11.45,20,229,5.73,2012
"249",2012-03-19,"Yolando Galicia",0,"North",6,"Merlot","red",2.229,8.38,18,150.84,4.98,2012
"4622",2012-03-19,"Yolando Galicia",0,"North",7,"Merlot","red",2.229,8.38,18,150.84,4.89,2012
"2462",2012-03-19,"Tori Hastie",0,"South",4,"Cabernet Sauvignon","red",3.624,11.96,13,155.48,6.783,2012
"7164",2012-03-19,"Lesia Belt",0,"West",6,"Pinot Gris","white",3.741,12.47,8,99.76,6.2424,2012
"4694",2012-03-19,"Vicki Kilkenny",0,"West",7,"Sauvignon Blanc","white",2.697,8.99,8,71.92,4.488,2012
"4827",2012-03-20,"Nilda Hypolite",0,"Central",4,"Chardonnay","white",3.15,10.07,14,140.98,6.19,2012
"9430",2012-03-20,"Aiko Hamsher",0,"East",7,"Cabernet Sauvignon","red",3.624,12.08,17,205.36,7.182,2012
"5434",2012-03-20,"Ben Gerry",1,"East",7,"Sauvignon Blanc","white",2.697,8.99,14,125.86,5.0925,2012
"6388",2012-03-20,"Kym Velarde",0,"East",4,"Shiraz","red",6.051,20.17,21,423.57,10.6995,2012
"4169",2012-03-20,"Lavera Mccallie",0,"South",5,"Chardonnay","white",3.15,10.38,13,134.94,5.358,2012
"8707",2012-03-20,"Tori Hastie",0,"South",5,"Cabernet Sauvignon","red",3.624,11.96,13,155.48,6.2985,2012
"9440",2012-03-20,"Tori Hastie",0,"South",4,"Cabernet Sauvignon","red",3.624,11.96,4,47.84,5.662,2012
"9196",2012-03-20,"Deloras Mcfetridge",0,"West",4,"Chardonnay","white",3.15,10.5,18,189,6.477,2012
"9177",2012-03-20,"Vicki Kilkenny",0,"West",7,"Cabernet Sauvignon","red",3.624,12.08,19,229.52,6.9564,2012
"9953",2012-03-21,"Dannette Saltsman",0,"Central",6,"Pinot Gris","white",3.741,12.04,13,156.52,6.62,2012
"6760",2012-03-21,"Dannette Saltsman",0,"Central",6,"Riesling","white",2.097,6.56,12,78.72,4.17,2012
"2737",2012-03-21,"Kym Velarde",0,"East",8,"Chardonnay","white",3.15,10.5,15,157.5,6.132,2012
"215",2012-03-21,"Deloras Mcfetridge",0,"West",6,"Cabernet Sauvignon","red",3.624,12.08,8,96.64,5.4366,2012
